dish1,dish2,count
carribean jerk boneless grilled chicken breast,malvani boneless grilled chicken breast,2
desi chicken pepperoni pizza,tripple cheese pizza,2
loaded pork pepperoni pizza,mutton seekh pide,2
peanut butter chocolate pide,salted crisper fries,2
bone in smoky bbq grilled chicken,peri peri krispers,2
desi chicken pepperoni pizza,fried chicken tenders,2
bone in smoky bbq grilled chicken,ghostbuster sauce,2
bone in smoky bbq grilled chicken,tipsy tiger ginger ale,2
desi chicken pepperoni pizza,spinach sumac pide,2
mutton seekh pizza,peanut butter chocolate pide,2
mutton seekh pizza,peri peri fries,2
mutton seekh pizza,tipsy tiger ginger ale,2
carribean jerk boneless grilled chicken breast,smoky bbq boneless grilled chicken breast,2
peanut butter chocolate pide,spinach sumac pide,2
carribean jerk boneless grilled chicken breast,chicken 65 boneless grilled chicken breast,2
loaded jamaican grilled chicken pizza,loaded pork pepperoni pizza,2
desi chicken pepperoni pizza,indian masala cripser fries,2
angara rice,onion bombs,2
desi chicken pepperoni pizza,just pepperoni pizza,2
loaded pork pepperoni pizza,peri peri chicken melt,2
chicken 65 boneless grilled chicken breast,grlld masala fries,2
grilled chicken angara boneless breast,grilled chicken smoky bbq boneless breast,2
grilled chicken jamaican tangdi,onion bombs,2
indian masala fries,spinach sumac pide,2
classic bacon melt tenderloin burger,mutton smashed burger,2
spinach sumac pide,tipsy tiger ginger ale,2
bone in angara grilled chicken,fried chicken beast aac burger,2
loaded korean grilled chicken pizza,makhani paneer pizza,2
mushroom mozzarella melt,peri peri grilled chicken pizza,2
bone in angara grilled chicken,bone in jamaican grilled chicken ,2
indian masala fries,mutton seekh pide,2
bageecha pizza,grilled chicken tangdi,2
bone in angara grilled chicken,onion bombs,2
indian masala fries,masala potato pide,2
bone in angara grilled chicken,grilled chicken jamaican tangdi,2
pepperoni garlic bread,peri peri paneer pizza,2
pepperoni garlic bread,tipsy tiger ginger ale,2
bone in angara grilled chicken,indian pico de-gallo,2
peri peri boneless grilled chicken breast,peri peri fries,2
bone in jamaican grilled chicken,peri peri fries ,2
salted fries,tenderloin smashed burger,2
chicken smashed burger,dirty saucy chicken loaded fries,2
just pepperoni pide,makhani paneer pizza,2
jamaican sauce,onion rings,2
just pepperoni pide,just pepperoni pizza,2
just pepperoni pide,peri peri fries,2
bone in jamaican grilled chicken,peri peri krispers,2
just pepperoni pide,peanut butter chocolate pide,2
aac signature crisper fries,mayonnaise,2
bone in jamaican grilled chicken,fried chicken classic tender ,2
chicken smashed burger,grilled chicken dirty burger,2
bone in jamaican grilled chicken,indian honey mustard sauce,2
bone in jamaican grilled chicken,bone in jamaican grilled chicken quarter + angara rice,2
bone in jamaican grilled chicken,grilled chicken tangdi jamaican + salted krispers,2
grilled chicken tangdi,indian masala fries,2
cous cous,red rice,2
bone in angara grilled chicken,india dynamite sauce,2
murgh amritsari seekh melt,salted fries,2
animal fries,grilled chicken angara tenders + salted fries,2
cafreal sauce,tripple cheese pizza,2
cafreal sauce,indian masala cripser fries,2
iced green tea - mojito,onion rings,2
indian masala fries,salted crisper fries,2
cafreal sauce,peanut butter chocolate pide,2
grilled chicken tangdi,tripple cheese pizza,2
angara boneless grilled chicken breast,smoky bbq boneless grilled chicken breast,2
iced green tea - mojito,murgh amritsari garlic bread,2
indian masala fries,raw masala lemon shikanji,2
iced green tea - mojito,tripple cheese pizza,2
angara boneless grilled chicken breast,carribean jerk boneless grilled chicken breast,2
chicken 65 boneless grilled chicken breast,peri peri fries,2
chicken 65 boneless grilled chicken breast,peri peri boneless grilled chicken breast,2
animal fries,fried chicken peri peri tender ,2
indian masala fries,loaded pork pepperoni pizza,2
angara boneless grilled chicken breast,peri peri boneless grilled chicken breast,2
cafreal sauce,harissa mayo,2
fried chicken classic tenders + aac signature fries,grilled chicken angara tenders + salted fries,2
mutton seekh pide,salted crisper fries,2
fried chicken classic tenders + aac signature fries,grilled chicken tangdi jamaican + salted krispers,2
murgh amritsari seekh melt,tipsy tiger fresh lime soda,2
angara boneless grilled chicken breast,salted fries,2
mutton seekh pide,tipsy tiger fresh lime soda,2
animal fries,harissa mayo,2
animal fries,dynamite sauce,2
classic bacon melt tenderloin burger,peri peri crisper fries,2
grilled chicken angara boneless breast,grilled chicken peri peri tender,2
animal fries,honey mustard sauce,2
classic bacon melt tenderloin burger,tenderloin smashed burger,2
classic bacon melt tenderloin burger,salted fries,2
iced green tea - mojito,indian masala fries,2
iced green tea - mojito,peanut butter chocolate pide,2
angara boneless grilled chicken breast,peri peri fries,2
bone in jamaican grilled chicken ,bone in smoky bbq grilled chicken ,2
just pepperoni pizza,tipsy tiger ginger ale,2
aac saucy fries,grilled chicken jamaican tangdi,2
bone in kabuli grilled chicken,tipsy tiger ginger ale,2
fried chicken strips,indian masala fries,2
bone in kabuli grilled chicken,cafreal dip,2
bone in kabuli grilled chicken,grilled chicken tangdi jamaican + salted krispers,2
harisa mayo,salted fries,2
bone in kabuli grilled chicken,indian honey mustard sauce,2
fried chicken angara tender,harissa mayo,2
chicken pepperoni pizza,spinach sumac pide,2
fried chicken angara tender,grilled chicken peri peri tangdi,2
grilled chicken dirty burger,grilled paneer burger,2
chicken pepperoni pizza,masala paneer pide,2
coleslaw,grilled chicken smoky bbq tender,2
dirty saucy chicken loaded fries,fried chicken tenders,2
cafreal dip,salted fries,2
cafreal dip,fried chicken classic tender,2
chicken pepperoni pizza,tipsy tiger fresh lime soda,2
cafreal dip,fried chicken angara tender,2
mayonnaise,peri peri grilled chicken pizza,2
coleslaw,jamaican sauce,2
bone in kabuli grilled chicken,salted crisper fries,2
chicken pepperoni pizza,just pepperoni pizza,2
fried chicken tenders,tenderloin smashed burger,2
bone in kabuli grilled chicken,raw masala lemon shikanji,2
bone in kabuli grilled chicken,fried chicken classic tenders + aac signature fries,2
chilli cheese garlic bread ,makhani paneer pizza ,2
bone in kabuli grilled chicken,smoky bbq sauce,2
harisa mayo,just pepperoni pizza,2
chicken pepperoni pizza,fried chicken strips,2
fried chicken strips,mutton seekh pide,2
india dynamite sauce,tipsy tiger fresh lime soda,2
bone in kabuli grilled chicken,grilled chicken angara tangdi,2
grilled chicken dirty burger,tipsy tiger fresh lime soda,2
fried chicken angara tender,herbed potato,2
aac saucy fries,smoky bbq sauce,2
og cheese pide,tipsy tiger fresh lime soda,2
grilled chicken peri peri tangdi,grilled chicken peri peri tender,2
fried chicken beast aac burger,onion rings,2
ghostbuster sauce,harissa mayo,2
og cheese pide,salted fries,2
aac fried paneer burger,fried chicken peri peri tender,2
mayonnaise,mushroom mozzarella melt,2
aac saucy fries,grilled chicken angara tangdi,2
margherita pizza,masala omelette pide,2
coleslaw,onion rings,2
fried chicken strips,tipsy tiger ginger ale,2
margherita pizza,peanut butter chocolate pide,2
grilled chicken peri peri tangdi,salted fries,2
aac saucy fries,indian pico de-gallo,2
fried chicken angara tender,grilled chicken smoky bbq boneless breast,2
mayonnaise,peri peri paneer melt,2
aac saucy fries,grilled chicken angara tender,2
angara grilled paneer (8 pcs),grilled chicken angara tender,2
angara grilled paneer (8 pcs),grilled chicken ghostbuster tangdi,2
aac saucy fries,angara sauce,2
aac saucy fries,bone in kabuli grilled chicken,2
aac saucy fries,peri peri crisper fries,2
ghostbuster sauce,peri peri fries,2
angara grilled paneer (8 pcs),grilled chicken smoky bbq tangdi,2
fried chicken tenders,masala paneer pide,2
coleslaw,salted crisper fries,2
fried chicken tenders,loaded korean grilled chicken pizza,2
fried chicken angara tender,grilled chicken jamaican boneless breast,2
fried chicken tenders,mutton seekh pide,2
fried chicken tenders,loaded pork pepperoni pizza,2
og cheese pide,pepperoni garlic bread,2
fried chicken angara tender,grilled chicken angara tenders + salted fries,2
iced green tea - peach,masala paneer pide,2
angara sauce,salted fries,2
raw masala lemon shikanji,tipsy tiger ginger ale,2
aac special slaw,bone in angara grilled chicken,2
crushed papad,mushroom pizza,2
crushed papad,peri peri crisper fries,2
coleslaw,fried chicken angara tender,2
fried chicken tenders,spinach sumac pide,2
onion rings,peanut butter chocolate pide,2
grilled chicken angara tangdi,onion bombs,2
aac special slaw,garlic aioli,2
raw masala lemon shikanji,salted fries,2
grilled chicken angara tangdi,salted crisper fries,2
grilled chicken jamaican tender,iced green tea - peach,2
aac special slaw,salted crisper fries,2
angara sauce,cafreal dip,2
combo for 1 - non veg,fried chicken tenders,2
crushed papad,grilled tangdis,2
grilled chicken angara tender,salted crisper fries,2
grilled chicken angara tangdi,grilled chicken angara tenders + salted fries,2
aac fried chicken burger,grilled chicken smoky bbq tangdi,2
crushed papad,indian masala cripser fries,2
angara sauce,indian pico de-gallo,2
iced green tea - peach,murgh amritsari garlic bread,2
crushed papad,garlic aioli,2
iced green tea - peach,raw masala lemon shikanji,2
crushed papad,peri peri paneer pizza,2
grilled chicken angara tender,indian pico de-gallo,2
crushed papad,makhani paneer pizza,2
crushed papad,indian masala fries,2
smoky bbq sauce,tipsy tiger fresh lime soda,2
iced green tea - peach,makhani paneer pizza,2
fried chicken angara tender,indian pico de-gallo,2
dirty indian masala fries,grilled paneer burger,2
chicken pepperoni pizza,indian masala fries,2
dirty indian masala fries,indian salsa,2
grilled chicken angara tangdi,indian honey mustard sauce,2
angara sauce,tipsy tiger ginger ale,2
fried chicken tenders,tipsy tiger ginger ale,2
desi masala fries,fried chicken boneless bites - 6pcs,2
aac special slaw,fried chicken ghostbuster tender,2
murgh amritsari seekh pide,salted fries,2
chicken pepperoni pizza,salted fries,2
fried chicken angara tender,tipsy tiger ginger ale,2
grilled chicken smoky bbq tangdi,onion rings,2
fried chicken dirty burger,onion rings,2
fried chicken angara tender,iced green tea - peach,2
grilled chicken ghostbuster tangdi,salted fries,2
grilled chicken jamaican tender,tipsy tiger ginger ale,2
indian masala cripser fries,indian salsa,2
angara sauce,tipsy tiger fresh lime soda,2
murgh amritsari garlic bread,peri peri paneer melt,2
indian masala cripser fries,indian masala fries,2
carribean jerk grilled chicken quarter,smoky bbq boneless grilled chicken breast,2
iced green tea - peach,murgh amritsari seekh pide,2
fried chicken angara tender,salted krispers,2
aac special slaw,tipsy tiger fresh lime soda,2
mayonnaise,murgh amritsari seekh melt,2
grilled chicken angara tangdi,grilled chicken smoky bbq tangdi,2
iced green tea - peach,masala potato pide,2
desi masala fries,dynamite sauce,2
harisa mayo,smoky bbq sauce,2
iced green tea - peach,salted crisper fries,2
og cheese pide,peri peri grilled chicken pizza,2
harisa mayo,peri peri grilled chicken pizza,2
peri peri grilled chicken pizza,tipsy tiger fresh lime soda,2
cheesy garlic bread,desi pepperoni pizza,2
garlic aioli,grilled chicken peri peri tangdi,2
angara grilled paneer (8 pcs),salted fries,2
garlic aioli,peri peri chicken melt,2
garlic aioli,peri peri paneer melt,2
aac fried paneer burger,fried chicken classic tender,2
peri peri fries,spinach sumac pide,2
coleslaw,smoky bbq dip,2
aac signature crisper fries,peri peri crisper fries,2
ghostbuster sauce,salted fries,2
grilled chicken angara tender,grilled chicken ghostbuster tangdi,2
angara sauce,smoky bbq sauce,2
angara sauce,bone in kabuli grilled chicken,2
fried chicken strips,indian pico de-gallo,2
coleslaw,salted fries,2
harisa mayo,peri peri paneer melt,2
aac fried paneer burger,fried chicken beast aac burger,2
garlic aioli,grilled chicken ghostbuster tangdi,2
desi chicken pepperoni pizza,peri peri crisper fries,2
garlic aioli,peri peri sauce,2
fried chicken strips,mutton seekh pizza,2
garlic aioli,peri peri grilled chicken pizza,2
garlic aioli,spinach sumac pide,2
garlic aioli,tipsy tiger ginger ale,2
fried chicken kabuli tender,ghostbuster sauce,2
garlic aioli,grilled chicken angara tangdi,2
cheesy garlic bread,crushed papad,2
angara sauce,honey mustard sauce,2
angara sauce,indian salsa,2
bone in jamaican grilled chicken quarter + angara rice,salted fries,2
honey mustard sauce,onion rings,2
aac fried paneer burger,tipsy tiger fresh lime soda,2
angara sauce,grilled paneer burger,2
indian pico de-gallo,tipsy tiger ginger ale,2
makhani paneer pizza,salted fries,2
brocolli onion pizza,herbed potato,2
grilled tangdis,peri peri paneer melt,2
kabuli grilled paneer (8 pcs),peri peri crisper fries,2
brocolli onion pizza,mushroom pizza,2
indian salsa,makhani paneer pizza,2
indian salsa,peri peri sauce,2
grilled chicken angara tender ,grilled chicken smoky bbq tender ,2
desi masala crispers fries,dynamite sauce,2
kabuli grilled paneer (8 pcs),salted crisper fries,2
brocolli onion pizza,makhani paneer pizza,2
indian salsa,murgh amritsari seekh pizza,2
bone in jamaican grilled chicken quarter + angara rice,grilled chicken ghostbuster tangdi,2
grilled tangdis,salted fries,2
indian salsa,onion rings,2
indian pico de-gallo,smoky bbq sauce,2
peri peri fries,tipsy tiger ginger ale,2
indian pico de-gallo,peri peri sauce,2
grilled tangdis,indian masala fries,2
aac fried paneer burger,tipsy tiger ginger ale,2
indian pico de-gallo,salted crisper fries,2
kabuli grilled paneer (8 pcs),onion rings,2
aac grilled paneer burger,bone in jamaican grilled chicken,2
bone in jamaican grilled chicken quarter + angara rice,grilled chicken smoky bbq tangdi,2
bone in jamaican grilled chicken quarter + angara rice,tipsy tiger ginger ale,2
aac signature crisper fries,garlic aioli,2
just pepperoni pizza,spinach sumac pide,2
garlic aioli,onion bombs,2
masala potato pide,salted crisper fries,2
masala potato pide,peri peri grilled chicken pizza,2
fried chicken classic tender,fried chicken peri peri tenders + peri peri fries,2
aac signature krispers,grilled chicken peri peri tender,2
fried chicken classic tender ,grilled chicken smoky bbq tender,2
aac signature krispers,fried chicken angara tender,2
aac signature krispers,animal fries,2
grilled chicken afghani boneless breast,grilled chicken jamaican tender,2
grilled chicken afghani boneless breast,grilled chicken jamaican boneless breast,2
fried chicken classic tender,jamaican sauce,2
peri peri fries,peri peri paneer melt,2
garlic aioli,honey mustard sauce,2
onion rings,smoky bbq sauce,2
fried chicken classic tender,grilled chicken ghostbuster tangdi,2
angara grilled paneer (8 pcs),fried chicken angara tender,2
fried chicken classic tender,iced green tea - peach,2
fried chicken kabuli tender,peri peri crisper fries,2
og cheese pide,peri peri fries,2
aac saucy fries,kabuli grilled paneer (8 pcs),2
mayonnaise,tipsy tiger fresh lime soda,2
onion rings,tenderloin smashed burger,2
angara grilled paneer (8 pcs),animal fries,2
fried chicken kabuli tender,onion bombs,2
fried chicken classic tender,peri peri crisper fries,2
masala potato pide,peri peri fries,2
harisa mayo,peri peri sauce,2
angara grilled paneer (8 pcs),angara sauce,2
fried chicken classic tender ,salted fries ,2
og cheese pide,peri peri paneer melt,2
fried chicken strips,tripple cheese pizza,2
aac saucy fries,angara aloo tuk tuki,2
angara sauce,peri peri fries,2
angara grilled paneer (8 pcs),fried chicken classic tender,2
fried chicken tenders,korean fried chicken burger,2
aac saucy fries,angara grilled paneer (8 pcs),2
angara grilled paneer (8 pcs),bone in peri peri grilled chicken,2
fried chicken strips,malai gud pide,2
fried chicken beast aac burger,grilled chicken afghani boneless breast,2
angara grilled paneer (8 pcs),tipsy tiger ginger ale,2
aac signature krispers,angara rice,2
fried chicken classic tender,herbed potato,2
fried chicken beast aac burger,tipsy tiger fresh lime soda,2
angara grilled paneer (8 pcs),tipsy tiger fresh lime soda,2
og cheese pide,raw masala lemon shikanji,2
og cheese pide,peri peri crisper fries,2
aac signature krispers,grilled chicken jamaican tender,2
fried chicken classic tender,indian pico de-gallo,2
angara grilled paneer (8 pcs),ghostbuster sauce,2
aac fried paneer burger,fried chicken ghostbuster tender,1
fried chicken boneless bites - 10pcs,mint mayonnaise,1
grlld potatoes,grlld vegetables,1
angara sauce,india dynamite sauce,1
desi masala crispers fries,salted fries,1
angara boneless grilled chicken breast,malvani grilled chicken quarter,1
loaded pork pepperoni pizza,peri peri fries,1
loaded pork pepperoni pizza,mutton seekh pizza,1
dirty indian masala crisper fries,grilled chicken dirty burger,1
fried chicken boneless bites - 10pcs,peri peri fries,1
grlld potatoes,peri peri boneless grilled chicken breast,1
grlld potatoes,peri peri dip,1
grlld potatoes,salted fries,1
aac fried paneer burger,peri peri crisper fries,1
dirty indian masala crisper fries,fried chicken beast burger,1
aac fried paneer burger,jamaican sauce,1
loaded pork pepperoni pizza,murgh amritsari garlic bread,1
aac fried paneer burger,aac saucy fries,1
angara boneless grilled chicken breast,carribean jerk dip,1
aac fried paneer burger,raw masala lemon shikanji,1
fried paneer angara slider,grilled paneer afghani slider,1
grlld potatoes,malvani boneless grilled chicken breast,1
angara boneless grilled chicken breast,smoky bbq grilled chicken quarter,1
fried paneer angara slider,indian salsa,1
peri peri crispers fries,peri peri ketchup,1
ooh saucy fries,salted fries,1
aac grilled paneer burger,grilled chicken peri peri tangdi,1
loaded pork pepperoni pizza,peri peri grilled chicken pizza,1
aac fried paneer burger,kabuli grilled paneer (8 pcs),1
loaded pork pepperoni pizza,murgh amritsari seekh melt,1
grlld potatoes,iced green tea - mojito,1
fried chicken boneless bites - 10pcs,onion rings,1
angara sauce,dirty saucy chicken loaded fries,1
grilled chicken afghani boneless breast,raw masala lemon shikanji,1
angara boneless grilled chicken breast,smoky bbq grilled chicken tangdi (4pcs),1
loaded korean grilled chicken pizza,salted crisper fries,1
chicken 69,fried chicken strips,1
chicken 69,salted fries,1
chicken 69,peri peri crisper fries,1
angara sauce,harissa mayo,1
mutton smashed double burger,raw masala lemon shikanji,1
chicken 69,dirty grilled paneer burger,1
chicken 69,dirty masala fries,1
combo for 1 - veg,tipsy tiger fresh lime soda,1
fried mushroom burger,peri peri crisper fries,1
dirty grilled paneer burger,og cheese burger,1
dirty grilled paneer burger,onion rings,1
grilled chicken afghani boneless breast,salted fries,1
aac fried paneer burger,angara rice,1
angara sauce,kabuli grilled paneer (8 pcs),1
grilled chicken afghani boneless breast,herbed potato,1
dirty grilled paneer burger,dirty masala fries,1
bangin' soya burger,dirty indian soya chunks,1
bc burger,dirty saucy fries,1
dirty saucy fries,peri peri fries ,1
dirty saucy fries,grilled chicken 69 burger,1
angara sauce,peri peri fries ,1
aac fried paneer burger,grilled chicken jamaican tender,1
chicken 69,signature smashed tenderloin burger,1
peri peri sauce,tipsy tiger fresh lime soda,1
angara sauce,mint mayonnaise,1
fried chicken beast burger,korean fried chicken burger,1
angara sauce,dirty indian masala fries,1
angara sauce,onion rings,1
cheesy veg burger,herbed potato,1
cheesy veg burger,og cheese burger,1
cheesy veg burger,fried mushroom burger,1
aac fried paneer burger,angara aloo tuk tuki,1
angara sauce,dynamite sauce,1
angara sauce,fried chicken boneless bites - 10pcs,1
fried chicken beast burger,salted fries,1
angara sauce,fried chicken beast aac burger,1
aac grilled paneer burger,bone in angara grilled chicken,1
aac fried paneer burger,angara sauce,1
aac fried paneer burger,onion bombs,1
angara sauce,peri peri sauce,1
cheesy veg burger,grilled chicken dirty burger,1
angara sauce,bone in jamaican grilled chicken quarter + angara rice,1
mutton smashed double burger,tenderloin smashed burger,1
combo for 1 - veg,makhani paneer pizza,1
mutton smashed double burger,peri peri fries,1
cheesy veg burger,fried chicken beast burger,1
combo for 1 - veg,masala potato pide,1
combo for 1 - non veg,tipsy tiger ginger ale,1
loaded korean grilled chicken pizza,loaded pork pepperoni pizza,1
loaded korean grilled chicken pizza,spinach sumac pide,1
korean fried chicken slider,ooh saucy fries,1
loaded korean grilled chicken pizza,masala potato pide,1
loaded korean grilled chicken pizza,peri peri crisper fries,1
grlld masala fries,malvani boneless grilled chicken breast,1
grlld masala fries,salted fries,1
desi masala fries,mint mayonnaise,1
desi masala fries,harissa mayo,1
grlld masala fries,grlld vegetables,1
desi masala fries,indian salsa,1
grlld masala fries,peri peri boneless grilled chicken breast,1
combo for 1 - non veg,murgh amritsari seekh pide,1
combo for 1 - non veg,combo for 1 - veg,1
combo for 1 - non veg,loaded pork pepperoni pizza,1
grlld masala fries,smoky bbq grilled chicken tangdi (4pcs),1
angara boneless grilled chicken breast,grlld potatoes,1
combo for 1 - non veg,just pepperoni pizza,1
angara boneless grilled chicken breast,malvani boneless grilled chicken breast,1
loaded korean grilled chicken pizza,onion rings,1
combo for 1 - non veg,grilled chicken tangdi,1
angara boneless grilled chicken breast,chicken 65 boneless grilled chicken breast,1
loaded korean grilled chicken pizza,mutton seekh pizza,1
loaded korean grilled chicken pizza,mushroom pizza,1
mint mayonnaise,peri peri fries,1
grilled chicken afghani boneless breast,grilled chicken angara tender,1
dirty saucy fries,grilled paneer burger,1
angara sauce,bone in peri peri grilled chicken ,1
aac grilled paneer burger,onion rings,1
dirty saucy fries,salted crisper fries,1
dirty saucy fries,fried chicken tenders,1
dirty saucy fries,herbed potato,1
loaded korean grilled chicken pizza,mutton seekh pide,1
loaded korean grilled chicken pizza,peri peri fries,1
grilled chicken afghani boneless breast,grilled chicken smoky bbq boneless breast,1
angara sauce,indian honey mustard sauce,1
loaded korean grilled chicken pizza,peri peri chicken melt,1
og cheese burger,peri peri fries,1
grilled chicken afghani boneless breast,jamaican sauce,1
grilled chicken afghani boneless breast,grilled chicken ghostbuster tangdi,1
angara sauce,atomic veg burger,1
grilled chicken peri peri boneless breast,red rice,1
grilled chicken peri peri boneless breast,peri peri crisper fries,1
grilled chicken peri peri boneless breast,tipsy tiger fresh lime soda,1
loaded korean grilled chicken pizza,peanut butter chocolate pide,1
mint mayonnaise,onion rings,1
desi masala crispers fries,garlic aioli,1
animal fries ,grilled chicken jamaican tender ,1
loaded pork pepperoni pizza,masala paneer pide,1
dirty indian masala fries,mutton smashed double burger,1
carribean jerk grilled chicken quarter,malvani grilled chicken tangdi (4pcs),1
fried chicken dirty burger,fried chicken tenders,1
fried chicken dirty burger,grilled chicken dirty burger,1
fried chicken dirty burger,peri peri fries,1
dirty indian masala fries,fried chicken dirty burger,1
dirty indian masala fries,fried chicken tenders,1
dirty indian masala fries,grilled chicken dirty burger,1
dirty indian masala fries,tenderloin smashed burger,1
carribean jerk grilled chicken quarter,raw masala lemon shikanji,1
dirty indian masala fries,peri peri fries,1
dirty indian masala fries,mayonnaise,1
dirty indian masala fries,garlic aioli,1
dirty indian masala fries,og cheese burger,1
chilli cheese garlic bread ,herbed potato,1
dirty indian masala fries,dirty saucy chicken loaded fries,1
chilli cheese garlic bread ,margherita pizza,1
carribean jerk grilled chicken quarter,mayonnaise,1
carribean jerk grilled chicken quarter,coleslaw,1
fried chicken classic tender ,grilled chicken smoky bbq tangdi,1
grilled paneer burger ,peri peri fries,1
aac fried chicken burger,aac saucy fries,1
aac fried chicken burger,fried chicken angara tender,1
chicken smashed burgers ,peri peri fries,1
chicken smashed burgers ,classic bacon melt tenderloin burger ,1
raw masala lemon shikanji,spinach sumac pide,1
fried paneer burger ,peri peri fries ,1
grilled chicken double dirty burger,onion rings,1
grilled paneer burger ,onion rings,1
carribean jerk grilled chicken quarter,carribean jerk grilled chicken tangdi (4pcs),1
grilled chicken dirty burger ,peri peri fries,1
grilled chicken dirty burger ,onion rings,1
grilled chicken dirty burger ,grilled paneer burger ,1
malvani grilled chicken quarter,peri peri boneless grilled chicken breast,1
malvani grilled chicken quarter,smoky bbq grilled chicken quarter,1
angara paneer steak,paneer 65 paneer steak,1
carribean jerk grilled chicken quarter,peri peri grilled chicken tangdi (4pcs),1
dirty indian masala fries,fried chicken beast burger,1
fried chicken classic tender ,tipsy tiger ginger ale,1
bone in jamaican grilled chicken ,bone in smoky bbq grilled chicken,1
fried chicken beast aac burger,grilled chicken peri peri boneless breast,1
aac grilled chicken burger ,fried chicken classic tender,1
aac grilled chicken burger ,tipsy tiger fresh lime soda,1
fried chicken beast aac burger,grilled chicken smoky bbq boneless breast,1
aac grilled chicken burger ,animal fries,1
fried chicken beast aac burger,peri peri sauce,1
fried chicken beast aac burger,grilled chicken tangdi jamaican + salted krispers,1
fried chicken beast aac burger,raw masala lemon shikanji,1
aac grilled chicken burger ,fried chicken peri peri tender ,1
fried chicken beast aac burger,honey mustard sauce,1
fried chicken beast aac burger,jamaican sauce,1
fried chicken beast aac burger,grilled chicken angara boneless breast,1
fried chicken beast aac burger,grilled chicken ghostbuster tangdi,1
aac grilled chicken burger ,bone in jamaican grilled chicken quarter + angara rice,1
aac grilled chicken burger ,aac grilled paneer burger,1
fried chicken angara tender ,indian honey mustard sauce,1
bone in jamaican grilled chicken ,grilled chicken ghostbuster tangdi,1
fried chicken classic tender ,fried chicken kabuli tender,1
fried chicken beast aac burger,grilled chicken angara tenders + salted fries,1
fried chicken classic tender ,grilled chicken jamaican tender,1
grilled paneer burger,peri peri crisper fries,1
fried chicken classic tender ,kabuli grilled paneer (8 pcs),1
fried chicken classic tender ,onion rings,1
grilled chicken dirty burger,tenderloin smashed double burger,1
grilled chicken dirty burger,salted fries,1
grilled chicken dirty burger,herbed potato,1
grilled paneer burger,peri peri fries,1
grilled paneer burger,tipsy tiger ginger ale,1
grilled paneer burger,herbed potato,1
fried chicken beast aac burger,grilled chicken angara tender,1
angara grilled chicken quarter,chicken 65 boneless grilled chicken breast,1
fried chicken classic tender ,fried chicken kabuli tender ,1
fried chicken beast aac burger,grilled chicken peri peri tangdi,1
fried chicken classic tender ,grilled chicken angara tangdi,1
fried chicken classic tender ,salted fries,1
fried chicken classic tender ,smoky bbq sauce,1
fried chicken beast aac burger,smoky bbq sauce,1
aac fried chicken burger,bone in smoky bbq grilled chicken,1
aac fried chicken burger,jamaican sauce,1
aac fried chicken burger,fried chicken peri peri tender ,1
coleslaw,tipsy tiger fresh lime soda,1
dirty saucy chicken loaded fries,grilled paneer burger,1
coleslaw,ghostbuster sauce,1
dirty saucy chicken loaded fries,indian salsa,1
dirty saucy chicken loaded fries,grilled chicken double dirty burger,1
coleslaw,smoky bbq boneless grilled chicken breast,1
coleslaw,fried chicken peri peri tender,1
coleslaw,grilled chicken angara tender,1
coleslaw,smoky bbq sauce,1
coleslaw,fried chicken kabuli tender,1
coleslaw,herbed potato,1
coleslaw,grlld vegetables,1
coleslaw,grilled chicken jamaican tangdi,1
carribean jerk dip,smoky bbq dip,1
carribean jerk dip,coleslaw,1
carribean jerk dip,smoky bbq boneless grilled chicken breast,1
fried chicken kabuli tender ,fried chicken peri peri tender,1
coleslaw,peri peri fries,1
coleslaw,kabuli grilled paneer (8 pcs),1
aac fried chicken burger,animal fries,1
grilled chicken tangdi,peanut butter chocolate pide,1
grilled chicken tangdi,peri peri grilled chicken pizza,1
grilled chicken tangdi,tipsy tiger fresh lime soda,1
grilled chicken tangdi,og cheese pide,1
aac grilled paneer burger,grilled chicken peri peri tender,1
grilled chicken tangdi,loaded korean grilled chicken pizza,1
grilled chicken tangdi,mutton smashed burger,1
grilled chicken tangdi,malai gud pide,1
grilled chicken tangdi,tipsy tiger ginger ale,1
coleslaw,fried chicken classic tender,1
bageecha pizza ,chilli cheese garlic bread ,1
bageecha pizza ,makhani paneer pizza ,1
grilled chicken tangdi,tenderloin smashed burger,1
mutton smashed burger,peri peri crisper fries,1
mutton smashed burger,tipsy tiger fresh lime soda,1
mutton smashed burger,salted fries,1
tenderloin smashed burger,very peri tenderloin burger,1
fried chicken kabuli tender ,grilled chicken smoky bbq tender,1
fried chicken kabuli tender ,grilled chicken angara tangdi,1
fried chicken kabuli tender ,onion rings,1
aac fried chicken burger,aac signature fries,1
fried chicken tenders,og cheese pide,1
bone in angara grilled chicken ,fried chicken angara tender ,1
aac fried chicken burger,peri peri crisper fries,1
fried chicken tenders,indian salsa,1
aac fried chicken burger,fried chicken peri peri tender,1
fried chicken tenders,loaded chicken pepperoni pizza,1
aac fried chicken burger,grilled chicken ghostbuster tangdi,1
korean fried chicken burger,salted fries,1
fried chicken kabuli tender ,kabuli grilled paneer (8 pcs),1
aac fried chicken burger,bone in angara grilled chicken,1
dirty saucy chicken loaded fries ,fried chicken tenders,1
dirty saucy chicken loaded fries ,korean fried chicken burger,1
classic bacon melt tenderloin burger ,peri peri fries,1
aac fried chicken burger,kabuli grilled paneer (8 pcs),1
aac fried chicken burger,aac grilled paneer burger,1
