order_id,items
6160956171,"Chilli Cheese Garlic Bread, Bageecha Pizza"
6160159038,Jamaican Chicken Melt
6161238086,"Herbed Potato, Just Pepperoni Pizza"
6145516320,"Cheesy Garlic Bread, Bageecha Pizza"
6160610514,"Cheesy Garlic Bread, Peri Peri Grilled Chicken Pizza, Bageecha Pizza"
6151952607,"Herbed Potato, Peri Peri Fries, All About Chicken Pizza, Grilled Tangdis"
6159863804,Bageecha Pizza
6160176733,"Tipsy Tiger Ginger Ale, Tipsy Tiger Fresh Lime Soda, Desi Pepperoni Pizza"
6160402762,Peanut Butter Chocolate Pide
6157085800,"Chilli Cheese Garlic Bread, Bageecha Pizza"
6158822918,"Bageecha Pizza, Just Pepperoni Pizza, Grilled Tangdis"
6159422877,Masala Paneer Pide
6160857594,"Garlic Aioli, Herbed Potato"
6157651604,Herbed Potato
6157507031,"Malai Gud Pide, Murgh Amritsari Garlic Bread"
6159262449,Bageecha Pizza
6157822311,"Cheesy Garlic Bread, Garlic Aioli, Murgh Amritsari Seekh Pide, OG Cheese Pide"
6160160573,"All About Chicken Pizza, Bageecha Pizza"
6160282637,Chilli Cheese Garlic Bread
6147219186,Chilli Cheese Garlic Bread
6160284363,Margherita Pizza
6155146926,"Chilli Cheese Garlic Bread, Indian Masala Fries"
6155678531,All About Chicken Pizza
6159019205,Murgh Amritsari Seekh Pide
6159463353,Chilli Cheese Garlic Bread
6160121918,Peri Peri Paneer Pizza
6156920829,"Peri Peri Paneer Pizza, Bageecha Pizza"
6158214237,"Bellpepper Onion Pizza, All About Chicken Pizza, Cheesy Garlic Bread, Chilli Cheese Garlic Bread, Tripple Cheese Pizza, Peri Peri Paneer Pizza"
6159925862,Salted Fries
6159401629,"Peri Peri Grilled Chicken Pizza, All About Chicken Pizza"
6158808245,"All About Chicken Pizza, Margherita Pizza"
6149959826,"Cheesy Garlic Bread, Margherita Pizza"
6152929731,"Chilli Cheese Garlic Bread, Masala Paneer Pide"
6157368559,Murgh Amritsari Seekh Pide
6158761558,"Chilli Cheese Garlic Bread, Masala Paneer Pide"
6155657305,"All About Chicken Pizza, Murgh Amritsari Seekh Pide"
6157237871,"Margherita Pizza, Salted Fries"
6151277972,"Just Pepperoni Pizza, Bageecha Pizza"
6153169636,"Masala Paneer Pide, OG Cheese Pide"
6153451511,"Murgh Amritsari Seekh Pizza, Herbed Potato, All About Chicken Pizza"
6143987804,"Masala Paneer Pide, OG Cheese Pide"
6155350052,"Makhani Paneer Pizza, All About Chicken Pizza"
6158263363,"Mushroom Pizza, Makhani Paneer Pizza"
6149624372,Masala Potato Pide
6158598587,"Chilli Cheese Garlic Bread, Murgh Amritsari Seekh Pide"
6156801980,"Masala Paneer Pide, Murgh Amritsari Seekh Pide"
6156573091,"Murgh Amritsari Seekh Melt, Jamaican Chicken Melt"
6153648505,"Murgh Amritsari Seekh Melt, Jamaican Chicken Melt"
6155857717,"Angara Paneer Melt, Murgh Amritsari Seekh Melt"
6157096262,"All About Chicken Pizza, Peri Peri Fries, Malai Gud Pide, Indian Masala Fries"
6153606977,"Mushroom Pizza, Bageecha Pizza"
